ABF1;HIS7
ABF1;NOP12
ABF1;ACS1
ABF1;SLA1
ABF1;NGR1
ABF1;BSD2
ABF1;MSS116
ABF1;LPD1
ABF1;NUP57
ABF1;RPA12
ABF1;BYE1
ABF1;MRP49
ABF1;NOB1
ABF1;THP3
ABF1;NOP1
ABF1;GCD6
ABF1;FCY2
ABF1;UTP25
ABF1;DBP2
ABF1;BUD21
RLM1;PST1
RLM1;CWP1
RLM1;RPA34
RLM1;SFG1
ARG80;ARG1
ARG80;ARG5,6
ARG80;ARG3
ARG80;HSP104
ARG80;ARG8
ARG80;YOR302W
ARG80;CPA1
ARG81;ARG1
ARG81;YDL176W
ARG81;ARG5,6
ARG81;ARG3
ARG81;ARG8
ARG81;YOR302W
ARG81;CPA1
ASH1;HO
ASH1;PHO89
ASH1;PST1
BAS1;GCV3
BAS1;PHO5
BAS1;HIS4
BAS1;MET6
BAS1;ADE5,7
BAS1;YCH1
BAS1;ARN1
BAS1;CFD1
BAS1;ADE16
BAS1;SHM2
BAS1;PHO84
BAS1;ADE4
BAS1;ADE2
BAS1;FLC2
BAS1;BDH1
BAS1;YDR018C
BAS1;YFT2
BAS1;ADE8
BAS1;GLY1
BAS1;IES5
BAS1;SNZ3
BAS1;SNO3
BAS1;CDC20
BAS1;STR3
BAS1;PSD2
BAS1;QCR9
BAS1;ADE3
BAS1;HOP1
BAS1;GSH1
BAS1;YKL177W
BAS1;JEN1
BAS1;MNL2
BAS1;CAT2
BAS1;HSC82
BAS1;SPG5
BAS1;YMR244W
BAS1;IDP3
BAS1;YOL024W
BAS1;CTF19
BAS1;VTC3
BAS1;GRS2
BAS1;BDH2
BAS1;URA2
BAS1;CIS1
BAS1;ATG33
BAS1;CUP9
CAT8;DIC1
CAT8;MDH2
CAT8;ADH2
CBF1;PHM6
CBF1;VTC4
CBF1;SNA3
CBF1;VTC3
CBF1;TFC3
CBF1;EFB1
CBF1;SSA1
CBF1;ERP2
CBF1;CYS3
CBF1;CYC3
CBF1;GDH3
CBF1;YBL036C
CBF1;PRS4
CBF1;YBL086C
CBF1;IPP1
CBF1;YBR012C
CBF1;MUM2
CBF1;NHP6B
CBF1;TIM12
CBF1;RAD16
CBF1;ADH5
CBF1;PCS60
CBF1;TDP1
CBF1;YBR225W
CBF1;RIB5
CBF1;YBR287W
CBF1;YCL042W
CBF1;PDI1
CBF1;OCA4
CBF1;RDS1
CBF1;RMD1
CBF1;PTC1
CBF1;RPN4
CBF1;YDL023C
CBF1;RPS16B
CBF1;QRI7
CBF1;ATG20
CBF1;YFH1
CBF1;GLT1
CBF1;PRR2
CBF1;HBT1
CBF1;WHI4
CBF1;NTH1
CBF1;TRP1
CBF1;NRG1
CBF1;BAP3
CBF1;HEM12
CBF1;CDC34
CBF1;PST1
CBF1;YDR061W
CBF1;SEC7
CBF1;RNH202
CBF1;MHR1
CBF1;SUR2
CBF1;NCB2
CBF1;PDR15
CBF1;THI74
CBF1;APT2
CBF1;SAM2
CBF1;EMI1
CBF1;GRX2
CBF1;RIP1
CBF1;YEL025C
CBF1;IES6
